ID,Name,Surname,Gender,Birth date,Citizenship,Place of Birth,Type of contract,Group ID,Type of Studying,Contact information
1,Anna,Allen,f,07.11.1998,German,Hamburg,stipend,1,present,anna.allen98@gmail.com
2,Peter,Tailor,m,25.06.1999,German,Bremen,payable,2,present,petter99tailor@gmail.com
3,Alice,Cook,f,14.04.1999,Ungarn,Paks,payable,1,online,alicook@gmail.com
4,,,,,,,,3,present,
5,,,,,,,,3,present,
6,,,,,,,,2,online,
7,,,,,,,,1,online,
8,,,,,,,,2,online,
9,,,,,,,,3,present,
10,,,,,,,,2,present,
11,,,,,,,,1,present,
12,,,,,,,,1,present,
